"","date","ReviewSource","brand","n"
"297",2019-11-02,"Playstore","flutterwave",2
"298",2019-11-03,"Playstore","flutterwave",3
"299",2019-11-07,"Playstore","flutterwave",5
"300",2019-11-08,"Playstore","flutterwave",1
"301",2019-11-09,"Playstore","flutterwave",2
"302",2019-11-12,"Playstore","flutterwave",1
"303",2019-11-13,"Playstore","flutterwave",1
"304",2019-11-14,"Playstore","flutterwave",2
"305",2019-11-15,"Playstore","flutterwave",3
"306",2019-11-16,"AppStore","flutterwave",1
"307",2019-11-16,"Playstore","flutterwave",1
"308",2019-11-17,"Playstore","flutterwave",1
"309",2019-11-19,"Playstore","flutterwave",2
"310",2019-11-20,"Playstore","flutterwave",1
"311",2019-11-21,"Playstore","flutterwave",5
"312",2019-11-22,"Playstore","flutterwave",4
"313",2019-11-23,"Playstore","flutterwave",2
"314",2019-11-24,"Playstore","flutterwave",2
"315",2019-11-25,"Playstore","flutterwave",3
"316",2019-11-26,"Playstore","flutterwave",2
"317",2019-11-27,"Playstore","flutterwave",1
"318",2019-11-28,"Playstore","flutterwave",1
"319",2019-11-29,"AppStore","flutterwave",1
"320",2019-11-29,"Playstore","flutterwave",1
"321",2019-11-30,"Playstore","flutterwave",1
"322",2019-12-01,"AppStore","flutterwave",1
"323",2019-12-01,"Playstore","flutterwave",4
"324",2019-12-02,"Playstore","flutterwave",1
"325",2019-12-03,"Playstore","flutterwave",1
"326",2019-12-04,"Playstore","flutterwave",3
"327",2019-12-05,"Playstore","flutterwave",2
"328",2019-12-06,"Playstore","flutterwave",4
"329",2019-12-08,"Playstore","flutterwave",1
"330",2019-12-09,"AppStore","flutterwave",1
"331",2019-12-09,"Playstore","flutterwave",5
"332",2019-12-10,"Playstore","flutterwave",4
"333",2019-12-13,"Playstore","flutterwave",1
"334",2019-12-15,"Playstore","flutterwave",1
"335",2019-12-16,"Playstore","flutterwave",1
"336",2019-12-17,"Playstore","flutterwave",2
"337",2019-12-19,"Playstore","flutterwave",4
"338",2019-12-20,"Playstore","flutterwave",2
"339",2019-12-21,"Playstore","flutterwave",1
"340",2019-12-23,"Playstore","flutterwave",2
"341",2019-12-24,"Playstore","flutterwave",1
"342",2019-12-25,"Playstore","flutterwave",2
"343",2019-12-26,"AppStore","flutterwave",1
"344",2019-12-27,"Playstore","flutterwave",3
"345",2019-12-28,"Playstore","flutterwave",3
"346",2019-12-29,"Playstore","flutterwave",3
"347",2019-12-30,"Playstore","flutterwave",1
"348",2019-12-31,"Playstore","flutterwave",3
"349",2020-01-01,"Playstore","flutterwave",3
"350",2020-01-03,"Playstore","flutterwave",3
"351",2020-01-04,"Playstore","flutterwave",1
"352",2020-01-05,"Playstore","flutterwave",2
"353",2020-01-06,"Playstore","flutterwave",1
"354",2020-01-07,"Playstore","flutterwave",1
"355",2020-01-10,"Playstore","flutterwave",1
"356",2020-01-11,"Playstore","flutterwave",1
"357",2020-01-12,"Playstore","flutterwave",1
"358",2020-01-13,"AppStore","flutterwave",1
"359",2020-01-13,"Playstore","flutterwave",2
"360",2020-01-14,"Playstore","flutterwave",1
"361",2020-01-15,"Playstore","flutterwave",2
"362",2020-01-16,"Playstore","flutterwave",2
"363",2020-01-17,"Playstore","flutterwave",4
"364",2020-01-21,"Playstore","flutterwave",1
"365",2020-01-23,"Playstore","flutterwave",2
"366",2020-01-24,"Playstore","flutterwave",2
"367",2020-01-26,"Playstore","flutterwave",1
"368",2020-01-28,"Playstore","flutterwave",1
"369",2020-01-29,"Playstore","flutterwave",1
"370",2020-01-30,"Playstore","flutterwave",1
"371",2020-01-31,"Playstore","flutterwave",1
"372",2020-02-01,"Playstore","flutterwave",1
"373",2020-02-02,"Playstore","flutterwave",1
"374",2020-02-03,"Playstore","flutterwave",2
"375",2020-02-04,"Playstore","flutterwave",2
"376",2020-02-05,"Playstore","flutterwave",4
"377",2020-02-06,"Playstore","flutterwave",1
"378",2020-02-07,"Playstore","flutterwave",3
"379",2020-02-08,"Playstore","flutterwave",2
"380",2020-02-12,"Playstore","flutterwave",2
"381",2020-02-13,"Playstore","flutterwave",2
"382",2020-02-14,"Playstore","flutterwave",4
"383",2020-02-16,"Playstore","flutterwave",1
"384",2020-02-17,"Playstore","flutterwave",2
"385",2020-02-18,"Playstore","flutterwave",2
"386",2020-02-19,"Playstore","flutterwave",3
"387",2020-02-20,"Playstore","flutterwave",2
"388",2020-02-22,"Playstore","flutterwave",2
"389",2020-02-23,"Playstore","flutterwave",1
"390",2020-02-24,"Playstore","flutterwave",3
"391",2020-02-25,"Playstore","flutterwave",2
"392",2020-02-26,"Playstore","flutterwave",1
"393",2020-02-27,"Playstore","flutterwave",4
"394",2020-02-28,"Playstore","flutterwave",3
"395",2020-02-29,"Playstore","flutterwave",2
"396",2020-03-01,"Playstore","flutterwave",1
"397",2020-03-02,"Playstore","flutterwave",3
"398",2020-03-03,"Playstore","flutterwave",3
"399",2020-03-04,"AppStore","flutterwave",1
"400",2020-03-04,"Playstore","flutterwave",1
"401",2020-03-05,"Playstore","flutterwave",2
"402",2020-03-06,"Playstore","flutterwave",1
"403",2020-03-09,"Playstore","flutterwave",1
"404",2020-03-10,"Playstore","flutterwave",2
"405",2020-03-11,"Playstore","flutterwave",2
"406",2020-03-12,"Playstore","flutterwave",3
"407",2020-03-14,"Playstore","flutterwave",2
"408",2020-03-15,"Playstore","flutterwave",2
"409",2020-03-16,"Playstore","flutterwave",1
"410",2020-03-17,"Playstore","flutterwave",3
"411",2020-03-18,"Playstore","flutterwave",4
"412",2020-03-19,"Playstore","flutterwave",1
"413",2020-03-21,"AppStore","flutterwave",1
"414",2020-03-21,"Playstore","flutterwave",2
"415",2020-03-23,"Playstore","flutterwave",1
"416",2020-03-24,"Playstore","flutterwave",1
"417",2020-03-25,"Playstore","flutterwave",1
"418",2020-03-26,"Playstore","flutterwave",2
"419",2020-03-27,"Playstore","flutterwave",4
"420",2020-03-28,"Playstore","flutterwave",4
"421",2020-03-30,"Playstore","flutterwave",3
"422",2020-03-31,"Playstore","flutterwave",2
"423",2020-04-01,"AppStore","flutterwave",1
"424",2020-04-01,"Playstore","flutterwave",2
"425",2020-04-02,"Playstore","flutterwave",1
"426",2020-04-04,"Playstore","flutterwave",5
"427",2020-04-06,"AppStore","flutterwave",1
"428",2020-04-07,"Playstore","flutterwave",3
"429",2020-04-08,"Playstore","flutterwave",4
"430",2020-04-09,"AppStore","flutterwave",1
"431",2020-04-09,"Playstore","flutterwave",4
"432",2020-04-10,"Playstore","flutterwave",4
"433",2020-04-11,"Playstore","flutterwave",3
"434",2020-04-12,"Playstore","flutterwave",1
"435",2020-04-13,"Playstore","flutterwave",6
"436",2020-04-14,"Playstore","flutterwave",2
"437",2020-04-15,"Playstore","flutterwave",4
"438",2020-04-16,"Playstore","flutterwave",1
"439",2020-04-17,"Playstore","flutterwave",1
"440",2020-04-18,"Playstore","flutterwave",3
"441",2020-04-19,"Playstore","flutterwave",2
"442",2020-04-20,"Playstore","flutterwave",5
"443",2020-04-22,"Playstore","flutterwave",3
"444",2020-04-23,"Playstore","flutterwave",3
"445",2020-04-24,"Playstore","flutterwave",5
"446",2020-04-25,"Playstore","flutterwave",2
"447",2020-04-26,"Playstore","flutterwave",2
"448",2020-04-27,"Playstore","flutterwave",6
"449",2020-04-28,"Playstore","flutterwave",3
"450",2020-04-29,"Playstore","flutterwave",4
"451",2020-04-30,"Playstore","flutterwave",4
"452",2020-05-01,"Playstore","flutterwave",6
"453",2020-05-02,"Playstore","flutterwave",3
"454",2020-05-03,"Playstore","flutterwave",7
"455",2020-05-04,"Playstore","flutterwave",6
"456",2020-05-05,"Playstore","flutterwave",7
"457",2020-05-06,"Playstore","flutterwave",11
"458",2020-05-07,"Playstore","flutterwave",9
"459",2020-05-08,"Playstore","flutterwave",3
"460",2020-05-09,"Playstore","flutterwave",6
"461",2020-05-10,"Playstore","flutterwave",7
"462",2020-05-11,"Playstore","flutterwave",6
"463",2020-05-12,"Playstore","flutterwave",7
"464",2020-05-13,"Playstore","flutterwave",7
"465",2020-05-14,"Playstore","flutterwave",7
"466",2020-05-15,"Playstore","flutterwave",10
"467",2020-05-16,"Playstore","flutterwave",10
"468",2020-05-17,"Playstore","flutterwave",4
"469",2020-05-18,"Playstore","flutterwave",10
"470",2020-05-19,"Playstore","flutterwave",6
"471",2020-05-20,"Playstore","flutterwave",14
"472",2020-05-21,"Playstore","flutterwave",8
"473",2020-05-22,"Playstore","flutterwave",4
"474",2020-05-23,"Playstore","flutterwave",6
"475",2020-05-24,"Playstore","flutterwave",5
"476",2020-05-25,"Playstore","flutterwave",8
"477",2020-05-26,"Playstore","flutterwave",6
"478",2020-05-28,"Playstore","flutterwave",3
"479",2020-05-29,"Playstore","flutterwave",11
"480",2020-05-30,"Playstore","flutterwave",8
"481",2020-05-31,"Playstore","flutterwave",5
"482",2020-06-01,"AppStore","flutterwave",1
"483",2020-06-01,"Playstore","flutterwave",5
"484",2020-06-02,"Playstore","flutterwave",7
"485",2020-06-03,"Playstore","flutterwave",7
"486",2020-06-04,"Playstore","flutterwave",10
"487",2020-06-05,"Playstore","flutterwave",13
"488",2020-06-06,"Playstore","flutterwave",3
"489",2020-06-07,"Playstore","flutterwave",3
"490",2020-06-08,"Playstore","flutterwave",8
"491",2020-06-09,"AppStore","flutterwave",1
"492",2020-06-09,"Playstore","flutterwave",5
"493",2020-06-10,"Playstore","flutterwave",10
"494",2020-06-11,"Playstore","flutterwave",7
"495",2020-06-12,"Playstore","flutterwave",9
"496",2020-06-13,"Playstore","flutterwave",7
"497",2020-06-14,"Playstore","flutterwave",2
